train_size,device,kendal_mean
11,edgegpu,0.375
25,edgegpu,0.284
55,edgegpu,0.728
124,edgegpu,0.792
276,edgegpu,0.810
614,edgegpu,0.821
1366,edgegpu,0.823
3036,edgegpu,0.824
6748,edgegpu,0.831
15000,edgegpu,0.831
11,eyeriss,0.456
25,eyeriss,0.967
55,eyeriss,0.985
124,eyeriss,0.985
276,eyeriss,0.985
614,eyeriss,0.985
1366,eyeriss,0.985
3036,eyeriss,0.985
6748,eyeriss,0.985
15000,eyeriss,0.985
11,fpga,0.458
25,fpga,0.973
55,fpga,0.987
124,fpga,0.987
276,fpga,0.987
614,fpga,0.987
1366,fpga,0.987
3036,fpga,0.987
6748,fpga,0.987
15000,fpga,0.987

